dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
MC,fig13_ablation_time,APAN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L50,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.78,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,APAN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J51,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,APAN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K51,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.42,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
RT,fig13_ablation_time,APAN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L51,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.92,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,APAN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J52,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,APAN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K52,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.82,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
LM,fig13_ablation_time,APAN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L52,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.65,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,APAN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J53,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,APAN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K53,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.95,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
WT,fig13_ablation_time,APAN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L53,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.12,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,APAN,TempGNN,workbook_b,exact_workbook_value,Sheet1!J54,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,APAN,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K54,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,4.55,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
GT,fig13_ablation_time,APAN,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L54,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,2.65,Exact workbook value; workbook label WO/OASC is normalized to the paper label WO/OATS.
AVG,fig13_ablation_time,AVG,TempGNN,workbook_b,exact_workbook_value,Sheet1!J55,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.0,Explicit average cell from the author plotting workbook.
AVG,fig13_ablation_time,AVG,WO/DDTC,workbook_b,exact_workbook_value,Sheet1!K55,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,3.08,Explicit average cell from the author plotting workbook.
AVG,fig13_ablation_time,AVG,WO/OATS,workbook_b,exact_workbook_value,Sheet1!L55,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,1.77,Explicit average cell from the author plotting workbook.
