dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
WK,fig11_speedup_matg,APAN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WK/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4473,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,APAN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/MC/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4062,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,APAN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/RT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4884,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,APAN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/LM/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.388,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,APAN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.5569,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,APAN,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/GT/ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.6757,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
AVG,fig11_speedup_matg,AVG,ViTeGNN,vector_fig11,vector_geometry_digitization,Fig.11 AVG bar:ViTeGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.4473,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
WK,fig11_speedup_matg,JODIE,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WK/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9495,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,JODIE,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/MC/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.8765,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,JODIE,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/RT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.018,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
