figure,model,dataset,solution,x,value,source_id,source_kind,source_locator,source_sha256,value_note
fig2_execution_breakdown,APAN,WT,TA (%),,15.2,workbook_a,exact_workbook_value,Sheet1!F24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,GT,TGS (%),,68.5,workbook_a,exact_workbook_value,Sheet1!C25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,GT,MG (%),,3.5,workbook_a,exact_workbook_value,Sheet1!D25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,GT,VMU (%),,15.8,workbook_a,exact_workbook_value,Sheet1!E25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,APAN,GT,TA (%),,12.2,workbook_a,exact_workbook_value,Sheet1!F25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Exact numeric cell from the author plotting workbook.
fig2_execution_breakdown,AVG,AVG,TGS (%),,47.1,workbook_a,exact_workbook_value,Sheet1!C26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Explicit average cell from the author plotting workbook.
fig2_execution_breakdown,AVG,AVG,MG (%),,4.7,workbook_a,exact_workbook_value,Sheet1!D26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Explicit average cell from the author plotting workbook.
fig2_execution_breakdown,AVG,AVG,VMU (%),,33.0,workbook_a,exact_workbook_value,Sheet1!E26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Explicit average cell from the author plotting workbook.
fig2_execution_breakdown,AVG,AVG,TA (%),,15.2,workbook_a,exact_workbook_value,Sheet1!F26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,Explicit average cell from the author plotting workbook.
fig4a_branch_parallelism_ratio,ALL,WK,BPR (%),,79.4,vector_fig4,vector_geometry_digitization,Fig.4(a) bar:WK,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.
fig4a_branch_parallelism_ratio,ALL,MC,BPR (%),,73.3,vector_fig4,vector_geometry_digitization,Fig.4(a) bar:MC,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.
