dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
GT,fig9b_gpu_overhead_breakdown,TGAT,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L20,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,20.2,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,APAN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J21,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,41.5,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,APAN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K21,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,36.2,Exact numeric cell from the author plotting workbook.
WK,fig9b_gpu_overhead_breakdown,APAN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L21,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,22.3,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,APAN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J22,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,44.8,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,APAN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K22,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,34.1,Exact numeric cell from the author plotting workbook.
MC,fig9b_gpu_overhead_breakdown,APAN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L22,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,21.1,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,APAN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J23,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,46.7,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,APAN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K23,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,32.5,Exact numeric cell from the author plotting workbook.
RT,fig9b_gpu_overhead_breakdown,APAN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L23,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,20.8,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,APAN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J24,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,58.2,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,APAN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K24,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,25.6,Exact numeric cell from the author plotting workbook.
LM,fig9b_gpu_overhead_breakdown,APAN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L24,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,16.2,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,APAN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J25,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,37.8,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,APAN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K25,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,39.8,Exact numeric cell from the author plotting workbook.
WT,fig9b_gpu_overhead_breakdown,APAN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L25,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,22.4,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,APAN,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J26,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,32.5,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,APAN,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K26,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,48.2,Exact numeric cell from the author plotting workbook.
GT,fig9b_gpu_overhead_breakdown,APAN,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L26,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,19.3,Exact numeric cell from the author plotting workbook.
AVG,fig9b_gpu_overhead_breakdown,AVG,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J27,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,49.1,Explicit average cell from the author plotting workbook.
AVG,fig9b_gpu_overhead_breakdown,AVG,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K27,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,29.4,Explicit average cell from the author plotting workbook.
AVG,fig9b_gpu_overhead_breakdown,AVG,Dynamic dependency bookkeeping,workbook_b,exact_workbook_value,Sheet1!L27,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,21.5,Explicit average cell from the author plotting workbook.
